city,date,max_temperature,min_temperature,weather,wind
上海,4日（今天）,32,26℃,小雨,<3级
上海,5日（明天）,30,25℃,小雨,<3级
上海,6日（后天）,29,25℃,小雨,<3级
武汉,4日（今天）,34,27℃,小雨,4-5级转3-4级
北京,4日（今天）,36,26℃,多云转晴,<3级
上海,7日（周六）,31,26℃,中雨转小雨,4-5级转3-4级
上海,8日（周日）,30,26℃,阵雨转晴,<3级
武汉,5日（明天）,30,25℃,大雨,4-5级转3-4级
武汉,6日（后天）,30,25℃,小雨转多云,3-4级转<3级
北京,5日（明天）,36,24℃,多云转雷阵雨,<3级
上海,9日（周一）,31,26℃,阵雨转小雨,<3级转4-5级
上海,10日（周二）,31,26℃,阵雨转小雨,<3级
武汉,7日（周六）,31,24℃,多云,<3级
北京,6日（后天）,33,23℃,雷阵雨,<3级
北京,7日（周六）,30,21℃,雷阵雨,<3级
武汉,8日（周日）,31,24℃,小雨,<3级
北京,8日（周日）,29,21℃,雷阵雨,<3级
北京,9日（周一）,30,22℃,多云转阴,<3级
武汉,9日（周一）,32,25℃,小雨,<3级
武汉,10日（周二）,32,26℃,小雨,<3级
北京,10日（周二）,31,22℃,多云,<4级
